digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.090143218197135638,0.10000000000000001,0.0090143218197135631,0.01653786707882535,118.7
Dados por classe
 , ,1.0,0.09014321819713564,0.1653786707882535,1187.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.2,0.090985678180286439,0.10084745762711864,0.10902192242833053,0.01823132965483177,118.7
Dados por classe
 , ,1.0,0.09021922428330523,0.16550657385924206,1186.0
 , ,0.00847457627118644,1.0,0.01680672268907563,1.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
 , ,0.0,0.0,0.0,0.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.3,0.11625947767481044,0.12631556794143736,0.80925605536332179,0.06435936379130909,118.7
Dados por classe
 , ,1.0,0.092560553633218,0.16943784639746637,1156.0
 , ,0.1694915254237288,1.0,0.2898550724637681,20.0
 , ,0.018691588785046728,1.0,0.03669724770642201,2.0
 , ,0.007936507936507936,1.0,0.015748031496062992,1.0
 , ,0.025423728813559324,1.0,0.04958677685950414,3.0
 , ,0.0,0.0,0.0,0.0
 , ,0.007575757575757576,1.0,0.015037593984962407,1.0
 , ,0.008333333333333333,1.0,0.01652892561983471,1.0
 , ,0.009174311926605505,1.0,0.018181818181818184,1.0
 , ,0.01652892561983471,1.0,0.032520325203252036,2.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.4,0.26705981465880368,0.27458450598793405,0.91095189355168882,0.30214520799047456,118.7
Dados por classe
 , ,1.0,0.10951893551688843,0.1974169741697417,977.0
 , ,0.4067796610169492,1.0,0.5783132530120482,48.0
